state,topo,seed,flowNum,cc,randOffset,slots,multiFactor,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil,runtimeS
0,fat,100,1,dcqcn,0,-1.0,-1.0,36745838,36745838.0,36745838,-1,-1,29.49
0,fat,100,2,dcqcn,0,-1.0,-1.0,76887075,72870139.5,76887075,-1,-1,-1.0
1,fat,100,2,dcqcn,1,100.0,0.2,96702083,66443898.5,556745838,-1,-1,1094.92
1,fat,100,10,dcqcn,0,-1.0,-1.0,370067177,360892671.8,370067177,-1,-1,1122.18
1,fat,100,10,dcqcn,1,100.0,0.2,96702083,66443898.5,556745838,-1,-1,1017.15
1,fat,100,10,dcqcn,1,100.0,0.5,97391376,53257771.8,561745838,-1,-1,954.91
1,fat,100,10,dcqcn,1,100.0,0.7,112284816,80723207.7,517735696,-1,-1,957.19
1,fat,100,10,dcqcn,1,100.0,1.0,151434218,100805586.3,447079332,-1,-1,969.64
1,fat,100,10,dcqcn,1,100.0,1.5,110527205,59430606.9,467350003,-1,-1,933.56
1,fat,100,10,dcqcn,1,1000.0,0.2,106518780,71883133.4,568050883,-1,-1,1126.12
1,fat,100,10,dcqcn,1,1000.0,0.5,136430959,79373900.5,507482715,-1,-1,1101.06
1,fat,100,10,dcqcn,1,1000.0,0.7,183074735,127160874.7,526572649,-1,-1,1023.25
1,fat,100,10,dcqcn,1,1000.0,1.0,98993992,56123107.3,579657879,-1,-1,1004.74
1,fat,100,10,dcqcn,1,1000.0,1.5,164537277,100800051.4,457939828,-1,-1,1163.06
1,fat,100,10,dcqcn,1,1000000.0,0.2,134748335,93703852.9,471745838,-1,-1,1201.74
1,fat,100,10,dcqcn,1,1000000.0,0.5,95329032,69004129.2,419697390,-1,-1,1164.8
1,fat,100,10,dcqcn,1,1000000.0,0.7,85542165,63766410.0,412503437,-1,-1,1103.9
1,fat,100,10,dcqcn,1,1000000.0,1.0,90635015,55894090.0,551745838,-1,-1,1156.88
1,fat,100,10,dcqcn,1,1000000.0,1.5,77704037,53972275.9,558995064,-1,-1,1170.39
1,fat,101,10,hp,0,-1.0,-1.0,371373487,362928617.7,371373487,-1,-1,1068.92
1,fat,101,10,hp,1,100.0,0.2,106206134,64981511.3,477206134,-1,-1,1040.31
1,fat,101,10,hp,1,100.0,0.5,147746441,87764699.0,486902690,-1,-1,1081.49
1,fat,101,10,hp,1,100.0,0.7,156244987,95466969.1,549382945,-1,-1,1203.58
1,fat,101,10,hp,1,100.0,1.0,166605085,121551433.7,392390826,-1,-1,1073.74
1,fat,101,10,hp,1,100.0,1.5,202584243,145562574.7,608543591,-1,-1,1186.52
1,fat,101,10,hp,1,1000.0,0.2,152848274,115179924.3,392195544,-1,-1,1034.4
1,fat,101,10,hp,1,1000.0,0.5,217233287,153756378.5,403724785,-1,-1,1077.17
1,fat,101,10,hp,1,1000.0,0.7,191524540,123753172.3,377780345,-1,-1,974.5
1,fat,101,10,hp,1,1000.0,1.0,160610710,118566810.7,379284047,-1,-1,1099.11
1,fat,101,10,hp,1,1000.0,1.5,153368726,122663660.8,376127462,-1,-1,1082.94
